order_id,order_date,store_location,lens_type,lens_index,power,coating,frame_type,inventory_available,current_stage,sla_hours,time_in_stage_hours,total_processing_hours,qc_failed,reorder_required,delay_reason,delayed
1,2025-03-16,Chennai,Single Vision,1.74,-3.23,Photochromic,Aviator,1,Shipped,48,7,47,0,0,,0
2,2024-06-13,Bangalore,High Index,1.67,3.31,UV Protection,Full Rim,1,Order Placed,168,18,227,0,0,,0
3,2025-12-06,Delhi,Single Vision,1.56,-3.46,UV Protection,Sports,1,Packing,48,69,69,0,0,,0
4,2024-07-22,Delhi,Progressive,1.56,2.26,Blue Cut,Rimless,1,Packing,120,48,142,0,0,,0
5,2026-02-16,Delhi,Single Vision,1.74,0.7,Anti Glare,Sports,1,Coating,48,9,36,0,0,,0
6,2026-03-09,Hyderabad,Single Vision,1.74,-1.71,Blue Cut,Half Rim,1,QC,48,26,72,0,0,,0
7,2024-12-10,Hyderabad,Progressive,1.5,-4.71,UV Protection,Aviator,0,Order Placed,120,65,152,1,1,Supplier Delay,1
8,2025-11-16,Bangalore,Single Vision,1.74,-7.11,Photochromic,Rimless,1,Coating,48,62,51,0,0,,0
9,2024-12-30,Chennai,Single Vision,1.56,-5.49,UV Protection,Aviator,1,Shipped,48,54,69,0,0,,0
10,2024-12-30,Hyderabad,Single Vision,1.56,1.41,UV Protection,Rimless,1,Packing,48,34,78,0,0,,0
11,2026-01-31,Mumbai,Single Vision,1.5,-0.4,Photochromic,Aviator,1,QC,48,72,55,0,0,,0
12,2025-11-03,Bangalore,Progressive,1.5,-4.32,Anti Glare,Rimless,1,Packing,120,61,210,0,0,,0
13,2025-07-18,Delhi,Single Vision,1.6,-3.56,Photochromic,Rimless,0,Coating,48,14,75,0,0,Machine Downtime,1
14,2024-07-19,Bangalore,High Index,1.5,-7.05,Blue Cut,Full Rim,0,Order Placed,168,62,300,1,1,Logistics Delay,1
15,2024-09-11,Bangalore,Progressive,1.56,-2.43,Anti Glare,Rimless,1,Coating,120,54,109,0,0,,0
16,2024-11-05,Bangalore,Bifocal,1.74,-1.35,Anti Glare,Aviator,1,Delivered,96,26,130,0,0,,0
17,2025-04-14,Delhi,Single Vision,1.5,1.96,UV Protection,Aviator,1,Prescription Verification,48,55,30,0,0,,0
18,2026-01-14,Mumbai,Single Vision,1.5,2.21,Blue Cut,Half Rim,1,Delivered,48,52,47,0,0,,0
19,2026-04-08,Hyderabad,Single Vision,1.67,-0.71,Anti Glare,Half Rim,0,Shipped,48,38,50,0,0,Logistics Delay,1
20,2026-01-25,Hyderabad,Progressive,1.5,-5.88,Anti Glare,Full Rim,0,QC,120,25,171,1,1,Logistics Delay,1
21,2025-09-25,Chennai,Single Vision,1.5,-2.61,UV Protection,Sports,1,Lens Cutting,48,18,82,0,0,,0
22,2025-09-22,Hyderabad,Progressive,1.5,-6.15,UV Protection,Full Rim,1,Prescription Verification,120,68,212,0,0,,0
23,2024-11-01,Delhi,Single Vision,1.5,-1.09,Blue Cut,Aviator,1,Prescription Verification,48,36,56,0,0,,0
24,2025-02-06,Hyderabad,Single Vision,1.74,-5.35,Anti Glare,Rimless,0,Order Placed,48,31,58,0,0,QC Failure,1
25,2026-05-31,Mumbai,Single Vision,1.6,-2.03,UV Protection,Aviator,1,Shipped,48,23,27,0,0,,0
26,2026-05-02,Hyderabad,Single Vision,1.5,-7.9,UV Protection,Half Rim,1,Prescription Verification,48,39,49,0,0,,0
27,2024-09-02,Delhi,Single Vision,1.67,4.02,Photochromic,Sports,1,Prescription Verification,48,65,48,0,0,,0
28,2025-04-06,Bangalore,Progressive,1.6,-4.72,UV Protection,Aviator,1,Delivered,120,71,192,0,0,,0
29,2025-05-08,Chennai,Progressive,1.56,-3.3,Blue Cut,Rimless,0,Coating,120,13,179,0,0,Supplier Delay,1
30,2026-01-22,Bangalore,Single Vision,1.74,2.53,Blue Cut,Half Rim,1,Packing,48,54,59,0,0,,0
31,2024-12-15,Mumbai,Bifocal,1.56,5.56,Anti Glare,Sports,1,Shipped,96,69,51,0,0,,0
32,2024-07-17,Mumbai,Progressive,1.56,-7.17,Photochromic,Aviator,1,Coating,120,39,196,0,0,,0
33,2026-02-12,Delhi,Progressive,1.5,5.78,Blue Cut,Rimless,0,Packing,120,60,195,0,0,Logistics Delay,1
34,2026-05-31,Mumbai,Single Vision,1.74,-3.13,UV Protection,Rimless,1,Order Placed,48,48,42,0,0,,0
35,2025-03-01,Delhi,High Index,1.56,0.54,Blue Cut,Sports,0,Lens Cutting,168,3,237,0,0,Inventory Shortage,1
36,2024-09-08,Hyderabad,Progressive,1.74,1.31,UV Protection,Aviator,1,Prescription Verification,120,3,91,0,0,,0
37,2024-08-22,Bangalore,Bifocal,1.6,0.08,UV Protection,Rimless,1,Packing,96,55,77,0,0,,0
38,2025-03-25,Delhi,Bifocal,1.67,4.38,UV Protection,Aviator,0,Lens Cutting,96,43,103,0,0,QC Failure,1
39,2026-01-25,Bangalore,Bifocal,1.74,-1.75,UV Protection,Sports,1,Lens Cutting,96,14,130,0,0,,0
40,2024-06-22,Bangalore,Bifocal,1.74,0.13,Blue Cut,Half Rim,1,Coating,96,66,60,0,0,,0
41,2025-03-08,Bangalore,Single Vision,1.5,-7.76,Anti Glare,Rimless,1,Delivered,48,59,77,0,0,,0
42,2024-08-30,Delhi,Progressive,1.67,-0.62,Photochromic,Aviator,1,Prescription Verification,120,8,117,0,0,,0
43,2026-04-24,Chennai,Single Vision,1.56,-1.11,Blue Cut,Half Rim,1,Lens Cutting,48,12,71,0,0,,0
44,2025-01-20,Hyderabad,High Index,1.67,-2.49,Photochromic,Sports,1,Prescription Verification,168,45,291,0,0,,0
45,2025-08-28,Bangalore,Single Vision,1.6,-6.11,Blue Cut,Rimless,1,Prescription Verification,48,72,33,0,0,,0
46,2025-05-01,Chennai,Bifocal,1.74,3.33,UV Protection,Half Rim,1,Lens Cutting,96,12,151,0,0,,0
47,2026-06-10,Chennai,Single Vision,1.67,-5.1,Anti Glare,Rimless,1,QC,48,33,28,0,0,,0
48,2025-05-20,Delhi,Progressive,1.67,-2.35,UV Protection,Half Rim,0,Assembly,120,16,107,0,0,,0
49,2025-08-22,Mumbai,Progressive,1.74,-4.56,Blue Cut,Aviator,0,Coating,120,32,171,0,0,Inventory Shortage,1
50,2024-11-21,Hyderabad,Single Vision,1.5,-7.36,UV Protection,Sports,1,Lens Cutting,48,58,32,0,0,,0
51,2025-12-14,Chennai,Progressive,1.6,-3.38,Blue Cut,Aviator,1,Delivered,120,64,125,0,0,,0
52,2025-10-07,Mumbai,Progressive,1.6,1.39,UV Protection,Rimless,0,Assembly,120,69,116,0,0,,0
53,2025-12-13,Chennai,Single Vision,1.56,-2.32,Blue Cut,Rimless,1,Assembly,48,38,39,0,0,,0
54,2025-03-02,Bangalore,Bifocal,1.67,-5.68,UV Protection,Aviator,0,QC,96,70,97,0,0,Supplier Delay,1
55,2025-04-30,Hyderabad,High Index,1.67,-1.53,Blue Cut,Sports,1,Coating,168,9,253,0,0,,0
56,2025-05-17,Mumbai,Progressive,1.74,-0.59,UV Protection,Full Rim,0,Shipped,120,44,172,0,0,Machine Downtime,1
57,2025-08-14,Mumbai,Progressive,1.56,1.0,Anti Glare,Full Rim,1,Prescription Verification,120,13,182,0,0,,0
58,2025-08-12,Mumbai,Single Vision,1.6,-2.45,UV Protection,Aviator,1,Coating,48,3,72,1,1,Inventory Shortage,1
59,2024-07-03,Delhi,Progressive,1.74,-2.85,Anti Glare,Sports,0,Prescription Verification,120,33,65,0,0,,0
60,2026-01-31,Delhi,Progressive,1.56,5.27,Photochromic,Rimless,1,Shipped,120,61,193,0,0,,0
61,2024-12-30,Hyderabad,Single Vision,1.56,2.28,Anti Glare,Sports,1,Shipped,48,72,63,1,1,Inventory Shortage,1
62,2026-04-23,Bangalore,Progressive,1.74,-6.97,Photochromic,Rimless,1,Lens Cutting,120,40,163,0,0,,0
63,2026-01-06,Delhi,High Index,1.56,-5.78,Blue Cut,Aviator,0,Order Placed,168,18,232,0,0,Inventory Shortage,1
64,2025-05-18,Bangalore,Progressive,1.5,2.42,Anti Glare,Aviator,1,QC,120,60,63,0,0,,0
65,2025-07-23,Hyderabad,Single Vision,1.5,-2.7,Photochromic,Half Rim,1,Prescription Verification,48,60,30,0,0,,0
66,2025-08-25,Delhi,Single Vision,1.6,-2.53,UV Protection,Rimless,1,Delivered,48,42,35,0,0,,0
67,2025-04-04,Mumbai,Bifocal,1.6,-2.56,Anti Glare,Rimless,1,Shipped,96,32,149,0,0,,0
68,2025-07-14,Delhi,Single Vision,1.6,-2.95,Blue Cut,Rimless,1,Coating,48,28,41,0,0,,0
69,2025-11-04,Mumbai,Single Vision,1.67,0.99,Photochromic,Rimless,1,Prescription Verification,48,41,67,0,0,,0
70,2024-08-03,Chennai,Single Vision,1.67,1.51,Blue Cut,Full Rim,1,Lens Cutting,48,31,69,0,0,,0
71,2025-10-12,Chennai,Progressive,1.67,2.58,Blue Cut,Sports,1,Delivered,120,25,160,0,0,,0
72,2025-05-04,Chennai,Single Vision,1.56,-6.14,Anti Glare,Half Rim,1,Delivered,48,22,74,1,1,Inventory Shortage,1
73,2025-12-06,Chennai,Single Vision,1.56,5.53,Photochromic,Half Rim,1,Coating,48,4,48,0,0,,0
74,2025-03-31,Mumbai,Single Vision,1.5,-3.51,Blue Cut,Sports,1,Shipped,48,31,46,0,0,,0
75,2025-01-16,Bangalore,Progressive,1.56,-2.5,Anti Glare,Full Rim,1,Packing,120,17,212,0,0,,0
76,2024-11-03,Hyderabad,Single Vision,1.56,-1.0,Photochromic,Half Rim,0,Coating,48,32,52,0,0,Inventory Shortage,1
